Link;Name.English;Name.Russian;Group.English;Group.Russian
http://smilies.ru-board.com/sm/703.gif;перекур;перекур;Smoke;Курю
http://smilies.ru-board.com/sm/1356.gif;РЕСПЕКТ;РЕСПЕКТ;Slogan;Лозунг
http://smilies.ru-board.com/sm/brave.gif;свободу!;свободу!;Slogan;Лозунг
http://smilies.ru-board.com/sm/ruboard.gif;я люблю Ru-Board;я люблю Ru-Board;Slogan;Лозунг
http://smilies.ru-board.com/sm/kiss2.gif;чмок;чмок;Love;Любовь
http://smilies.ru-board.com/sm/love.gif;любовь с первого взгляда;любовь с первого взгляда;Love;Любовь
http://smilies.ru-board.com/sm/remykiss-1.gif;поцелуй;поцелуй;Love;Любовь
http://smilies.ru-board.com/sm/smileysex5.gif;быстро поимел;быстро поимел;Love;Любовь
http://smilies.ru-board.com/sm/ClergyMan2.gif;самодовольный;самодовольный;People;Люди
http://smilies.ru-board.com/sm/director.gif;внимание всем;внимание всем;People;Люди
http://smilies.ru-board.com/sm/loki07.gif;шарик в подарок;шарик в подарок;People;Люди
http://smilies.ru-board.com/sm/writer.gif;всё записываю;всё записываю;People;Люди
http://smilies.ru-board.com/sm/znaika.gif;знайка;знайка;People;Люди
http://smilies.ru-board.com/sm/1zhelp.gif;Help!;Помогите!;Surprise;Недоумение
http://smilies.ru-board.com/sm/mconfused2.gif;не понял?!;не понял?!;Surprise;Недоумение
http://smilies.ru-board.com/sm/ne_nau.gif;хмм... странно...;хмм... странно...;Surprise;Недоумение
http://smilies.ru-board.com/sm/164.gif;ревёт;ревёт;Sad;Несчастные
http://smilies.ru-board.com/sm/bncry.gif;плачет;плачет;Sad;Несчастные
http://smilies.ru-board.com/sm/mecry.gif;рыдает;рыдает;Sad;Несчастные
http://smilies.ru-board.com/sm/1newwink.gif;правым глазом;правым глазом;Wink;Подмигивание
http://smilies.ru-board.com/sm/wink-1.gif;подмигнул;подмигнул;Wink;Подмигивание
http://smilies.ru-board.com/sm/1087.gif;молотком по голове;молотком по голове;Funny;Прикольные
http://smilies.ru-board.com/sm/grobovschik.gif;песочница;песочница;Funny;Прикольные
http://smilies.ru-board.com/sm/chainik_boil.gif;краснеет;краснеет;Funny;Прикольные
http://smilies.ru-board.com/sm/maniac.gif;зарубаю;зарубаю;Funny;Прикольные
http://smilies.ru-board.com/sm/dark1.gif;ламер;ламер;Funny;Прикольные
http://smilies.ru-board.com/sm/togo.gif;ты чё дурак?;ты чё дурак?;Funny;Прикольные
http://smilies.ru-board.com/sm/durak.gif;головой об стену;головой об стену;Funny;Прикольные
http://smilies.ru-board.com/sm/znaika.gif;самый умный;самый умный;Funny;Прикольные
http://smilies.ru-board.com/sm/faga1.gif;в разнобой;в разнобой;Funny;Прикольные
http://smilies.ru-board.com/sm/zombi.gif;излучение;излучение;Funny;Прикольные
http://smilies.ru-board.com/sm/fruit.gif;прикольное привидение танцует;прикольное привидение танцует;Funny;Прикольные
http://smilies.ru-board.com/sm/bigcheek.gif;улыбка до ушей;улыбка до ушей;Smiles;Смайлы
http://smilies.ru-board.com/sm/face1.gif;хи-хи-хи;хи-хи-хи;Smiles;Смайлы
http://smilies.ru-board.com/sm/face27.gif;очень смешно;очень смешно;Smiles;Смайлы
http://smilies.ru-board.com/sm/TheSmile.gif;прикольно;прикольно;Smiles;Смайлы
http://smilies.ru-board.com/sm/smilie_bett.gif;уже сплю;уже сплю;Sleep;Сон
http://smilies.ru-board.com/sm/yawn2.gif;спать хочу;спать хочу;Sleep;Сон
http://smilies.ru-board.com/sm/zzzsleep.gif;заснул;заснул;Sleep;Сон
http://smilies.ru-board.com/sm/bigok.gif;счастливчик;счастливчик;Happy;Счастливые
http://smilies.ru-board.com/sm/yelrotflmao.gif;мне смешно;мне смешно;Happy;Счастливые
http://smilies.ru-board.com/sm/laugh.gif;хи-хи-ха-ха;хи-хи-ха-ха;Happy;Счастливые
http://smilies.ru-board.com/sm/xyxthumbs.gif;класс!;класс!;Happy;Счастливые
http://smilies.ru-board.com/sm/luxhello.gif;я счастлив;я счастлив;Happy;Счастливые
http://smilies.ru-board.com/sm/ylsmoke.gif;с сигаретой;с сигаретой;Happy;Счастливые
http://smilies.ru-board.com/sm/rofl.gif;валяется от смеха;валяется от смеха;Happy;Счастливые
http://smilies.ru-board.com/sm/ylsuper-1.gif;круто;круто;Happy;Счастливые
http://smilies.ru-board.com/sm/yllol.gif;качается по полу;качается по полу;Happy;Счастливые
http://smilies.ru-board.com/sm/Rotate_anim.gif;закружилась голова;закружилась голова;Happy;Счастливые
http://smilies.ru-board.com/sm/biggrinflip.gif;кружится;кружится;Grin;Широкая улыбка
http://smilies.ru-board.com/sm/clap.gif;радуется;радуется;Grin;Широкая улыбка
http://smilies.ru-board.com/sm/Grin_anim.gif;улыбается;улыбается;Grin;Широкая улыбка
http://smilies.ru-board.com/sm/winknudge.gif;смеётся;смеётся;Grin;Широкая улыбка
http://smilies.ru-board.com/sm/eek21.gif;вот это да!;вот это да!;Shock;Шок
http://smilies.ru-board.com/sm/jawdropblue.gif;очень удивлен;очень удивлен;Shock;Шок
http://smilies.ru-board.com/sm/181.gif;показывает язык;показывает язык;Tongue;Язык
http://smilies.ru-board.com/sm/htongue.gif;высунул язык;высунул язык;Tongue;Язык
