Link;Name.English;Name.Russian;Group.English;Group.Russian
smile;Улыбка;Улыбка;General;General
wink;Подмигивание;Подмигивание;General;General
smirk;Ухмылка;Ухмылка;General;General
redface;Стыд;Стыд;General;General
biggrin;Голливудская улыбка;Голливудская улыбка;General;General
gigi;Голливудская улыбка;Голливудская улыбка;General;General
biglaugh;Голливудская улыбка;Голливудская улыбка;General;General
laugh;Смех;Смех;General;General
lol;Истерический смех;Истерический смех;General;General
winkgrin;Голливудская улыбка;Голливудская улыбка;General;General
mad;Злость;Злость;General;General
beast;Не злите меня;Не злите меня;General;General
splat;Лопну от злости;Лопну от злости;General;General
confused;Замешательство;Замешательство;General;General
shuffle;Смущение;Смущение;General;General
amazed;Изумление;Изумление;General;General
sad;Огорчение;Огорчение;General;General
offence;Обида;Обида;General;General
tongue;Показать язык;Показать язык;General;General
tease;Дразнить;Дразнить;General;General
yawn;Скучно;Скучно;General;General
tired;Усталость ;Усталость ;General;General
chih;ноль внимания;ноль внимания;General;General
indifferent;Равнодушный;Равнодушный;General;General
beer;Сходка;Сходка;General;General
gulp;Выпивон;Выпивон;General;General
drink;на посошок;на посошок;General;General
dance;Танцевать;Танцевать;General;General
up;Одобряю;Одобряю;General;General
down;Ругаю;Ругаю;General;General
kruto;Круто!;Круто!;General;General
wow;Вот это да;Вот это да;General;General
super;Высший восторг;Высший восторг;General;General
rotate;Тащусь!;Тащусь!;General;General
upside;Вверхтормашками;Вверхтормашками;General;General
jump;Ура!;Ура!;General;General
applause;Аплодисменты;Аплодисменты;General;General
cool;Класс;Класс;General;General
yes;Да;Да;General;General
no;Нет;Нет;General;General
weep;Рев в 3 ручья;Рев в 3 ручья;General;General
abuse;Нападение;Нападение;General;General
smoke;Перекур;Перекур;General;General
angel;Ангел;Ангел;General;General
baby;Еще маленький;Еще маленький;General;General
help;Помогите;Помогите;General;General
lamer;Ламер;Ламер;General;General
durak;Дурак;Дурак;General;General
user;Юзер;Юзер;General;General
umnik;Умник ;Умник ;General;General
idontnow;Незнаю ;Незнаю ;General;General
bad;Отстой;Отстой;General;General
bye;Мне пора;Мне пора;General;General
sleep;Ушел спать;Ушел спать;General;General
standup;Проснись;Проснись;General;General
chew;Одно и то же;Одно и то же;General;General
cranky;Чудной;Чудной;General;General
dandy;Модно;Модно;General;General
dont;Не шали!;Не шали!;General;General
eek;Жуть;Жуть;General;General
nervous;Страшно;Страшно;General;General
eyes;Глаза разбежались;Глаза разбежались;General;General
fingal;Побои;Побои;General;General
bow;Разрешите откланяться;Разрешите откланяться;General;General
glasses;Позвольте!;Позвольте!;General;General
gum;Жвачка;Жвачка;General;General
wave;Хай;Хай;General;General
hi;Привет!;Привет!;General;General
idea;Идея;Идея;General;General
lady;Девчонка;Девчонка;General;General
girl;Заигрывание;Заигрывание;General;General
kiss;Поцелуй;Поцелуй;General;General
love;Любовь;Любовь;General;General
loveu;I Love You;I Love You;General;General
inlove;Влюбленный;Влюбленный;General;General
sex;Секс;Секс;General;General
condom;Догадайтесь;Догадайтесь;General;General
4u;Для тебя;Для тебя;General;General
nnn;Невижу-Неслышу-Нескажу;Невижу-Неслышу-Нескажу;General;General
phone;Свяжись со мной;Свяжись со мной;General;General
pilot;Летчик;Летчик;General;General
pray;О великий;О великий;General;General
puke;меня тошнит!;меня тошнит!;General;General
insane;Не в себе;Не в себе;General;General
rolleyes;Сарказм;Сарказм;General;General
talk;Треп;Треп;General;General
row;Спор;Спор;General;General
rupor;Внимание!;Внимание!;General;General
scull;Не влезай убьет;Не влезай убьет;General;General
maniac;Зарежу;Зарежу;General;General
duel;Дуэль;Дуэль;General;General
uzi;Досада;Досада;General;General
shot;Стрелок;Стрелок;General;General
spy;Шпион;Шпион;General;General
stop;Хватит;Хватит;General;General
sun;Солнышко;Солнышко;General;General
surprise;Сюрприз!;Сюрприз!;General;General
type;Программист;Программист;General;General
vampire;Вампир;Вампир;General;General
yogi;Йог;Йог;General;General
clown;Не грусти!;Не грусти!;General;General
birthday;С днем рождения;С днем рождения;General;General
dedmoroz;Дед Мороз;Дед Мороз;General;General
deds;карнавал;карнавал;General;General
ruboard;Я люблю Ru.Board;Я люблю Ru.Board;General;General
thanks;Спасибо (Благодарность);Спасибо (Благодарность);General;General
offtopic;Off-topic;Off-topic;General;General
loko;lokosmile;lokosmile;General;General
handin;Сдаюсь!;Сдаюсь!;General;General
rtfm;Read The Foolish Manual;Read The Foolish Manual;General;General
