Link;Name.English;Name.Russian;Group.English;Group.Russian
http://smiles.ru/coll/bankir/bye.gif;до свидания;до свидания;Misc;Misc
http://www.animac.ru/smiles/vopros/mask.gif;маска;маска;Misc;Misc
http://www.ncux.ru/board/images/smilies/d3efiga1.gif;фиг вам;фиг вам;Misc;Misc
http://www.forward.net.ru/smiles/194.gif;ворчун;ворчун;forward.net.ru;forward.net.ru
http://www.forward.net.ru/smiles/211.gif;недовольный;недовольный;forward.net.ru;forward.net.ru
http://www.forward.net.ru/smiles/214.gif;спор;спор;forward.net.ru;forward.net.ru
http://www.forward.net.ru/smiles/223.gif;шокирован;шокирован;forward.net.ru;forward.net.ru
http://www.forward.net.ru/smiles/226.gif;клыки;клыки;forward.net.ru;forward.net.ru
http://www.forward.net.ru/smiles/244.gif;fuck;fuck;forward.net.ru;forward.net.ru
http://www.forward.net.ru/smiles/251.gif;хмм... подумаем...;хмм... подумаем...;forward.net.ru;forward.net.ru
http://www.forward.net.ru/smiles/253.gif;сдаюсь;сдаюсь;forward.net.ru;forward.net.ru
http://www.forward.net.ru/smiles/DUMA.gif;думаю...;думаю...;forward.net.ru;forward.net.ru
http://www.forward.net.ru/smiles/flag.gif;флажок;флажок;forward.net.ru;forward.net.ru
http://www.forward.net.ru/smiles/fuck.gif;double fuck;double fuck;forward.net.ru;forward.net.ru
http://www.forward.net.ru/smiles/group.gif;группа;группа;forward.net.ru;forward.net.ru
http://www.forward.net.ru/smiles/hana.gif;не подходи;не подходи;forward.net.ru;forward.net.ru
http://www.forward.net.ru/smiles/kiss.gif;благодарны тебе;благодарны тебе;forward.net.ru;forward.net.ru
http://www.forward.net.ru/smiles/molot.gif;молотком;молотком;forward.net.ru;forward.net.ru
http://www.forward.net.ru/smiles/pitka.gif;казнь;казнь;forward.net.ru;forward.net.ru
http://www.forward.net.ru/smiles/pont.gif;распальцовка;распальцовка;forward.net.ru;forward.net.ru
http://www.forward.net.ru/smiles/search.gif;ищу...;ищу...;forward.net.ru;forward.net.ru
http://www.forward.net.ru/smiles/slivaem.gif;тихо уходим;тихо уходим;forward.net.ru;forward.net.ru
http://www.forward.net.ru/smiles/SMOKERUT.gif;довольный курит;довольный курит;forward.net.ru;forward.net.ru
http://www.forward.net.ru/smiles/sotr.gif;мир;мир;forward.net.ru;forward.net.ru
http://www.forward.net.ru/smiles/weap.gif;узи;узи;forward.net.ru;forward.net.ru
http://www.forward.net.ru/smiles/YAWNEE.gif;хочу спать;хочу спать;forward.net.ru;forward.net.ru
